,city,country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
1102,zhezkazgan,kz,47.8,67.71,64.4,31,0,11.18
1103,waipawa,nz,-39.94,176.59,46.54,89,32,4.83
1105,antigonish,ca,45.62,-61.99,53.6,58,1,3.36
1108,sitka,us,37.17,-99.65,88.21,36,0,10.8
1114,catemaco,mx,18.42,-95.11,91.4,52,5,11.41
1115,the pas,ca,53.82,-101.24,80.6,44,75,6.93
1116,greenville,us,34.85,-82.4,75.2,100,1,5.82
1119,cumana,ve,10.46,-64.17,69.76,94,48,2.04
1120,ullapool,gb,57.9,-5.16,50.14,100,64,14.83
1129,yulara,au,-25.24,130.99,51.8,53,90,9.17
1130,broken hill,au,-31.97,141.45,45.73,97,44,4.61
